Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.01471,0.0,8.45,0.0900000036,1.0816895962,0.09,-3.102,3.3858,4.99,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.07e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,12.526,14.567,17.413,13.085
0.01471,0.0,8.45,0.0900000036,1.0816895962,0.09,-3.102,3.3858,4.99,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.07e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,12.526,14.567,17.413,13.085
0.01471,0.0,8.45,0.0906737596,1.0881125927,0.091,-3.096,3.3869,4.991,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.08e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,12.51,14.552,17.397,13.069
0.01471,0.0,8.45,0.0981173739,1.1551849842,0.098,-3.023,3.3993,5.002,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.22e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,12.326,14.368,17.216,12.885
0.01471,0.0,8.45,0.1000000015,1.1711064577,0.1,-3.006,3.4023,5.005,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.25e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,12.284,14.325,17.175,12.842
0.01471,0.0,8.45,0.1100686267,1.2501009703,0.11,-2.917,3.4162,5.013,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.44e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,12.062,14.094,16.935,12.613
0.01471,0.0,8.45,0.1200000048,1.3193155527,0.12,-2.833,3.4296,5.021,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.66e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,11.854,13.716,16.327,12.274
0.01471,0.0,8.45,0.130815357,1.3866878748,0.131,-2.764,3.4382,5.023,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.86e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,11.679,13.429,15.899,12.013
0.01471,0.0,8.45,0.1352034211,1.4119893312,0.135,-2.736,3.4417,5.023,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.95e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,11.61,13.316,15.731,11.911
0.01471,0.0,8.45,0.1400000006,1.4384527206,0.14,-2.703,3.4454,5.02,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.07e-16,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,11.527,13.185,15.538,11.791
0.01471,0.0,8.45,0.1599999964,1.5372931957,0.16,-2.585,3.4578,5.011,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.57e-16,0.0,0.7107,0.2746,0.002655,0.0007163,0.006496,-1.0,0.01476,11.234,12.735,14.88,11.383
0.01471,0.0,8.45,0.200000003,1.6938791275,0.2,-2.396,3.4759,4.99,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.64e-16,0.0,0.7106,0.2746,0.002655,0.0007163,0.006496,-1.0,0.01476,10.759,12.054,13.928,10.762
0.01471,0.0,8.45,0.2405867875,1.8158303499,0.241,-2.24,3.4895,4.969,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.87e-16,0.0,0.7106,0.2746,0.002655,0.0007163,0.006496,-1.0,0.01476,10.37,11.518,13.2,10.275
0.01471,0.0,8.45,0.25,1.8403258324,0.25,-2.206,3.4923,4.963,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.2e-16,0.0,0.7106,0.2746,0.002655,0.0007163,0.006496,-1.0,0.01476,10.286,11.407,13.056,10.173
